,index,product_id,description,details,name,brand_category,attribute_name,attribute_value
113308,3787,01E2M4GPN28G0GGC99W15KRNPQ,striped cotton top brings vintage charm puff sleeve deep v neckline peplum waist,unknown,luna puff sleeve peplum top,unknown,category,top
113334,3788,01E2M0WAX969MYXBG7F9MEHXCV,spacious leather tote contrast topstitching removable lizard embossed compartment staud latest long line statement silhouette,unknown,linda leather tote,unknown,category,accessory
113335,3788,01E2M0WAX969MYXBG7F9MEHXCV,spacious leather tote contrast topstitching removable lizard embossed compartment staud latest long line statement silhouette,unknown,linda leather tote,unknown,category,accessory
113356,3789,01E2KZV23BDZ4441NNQNWDKS8T,channel throwback style inspired satin crop top designed drawstring ruched front billowy elbow sleeve,unknown,blossom satin crop top,unknown,category,top
113371,3791,01E2KMR8Q0HPDQQJT18HD55DM8,snakeskin embossing balance clean lined silhouette structured leather bucket bag timeless appeal,unknown,bissett snake embossed leather bucket bag,unknown,category,accessory
113389,3792,01E2KKKMHKHE0H4YDX6YXYXBRR,leather tote contrast topstitching panel smooth lizard embossed leather staud latest long line statement silhouette,unknown,wyatt leather tote,unknown,category,accessory
113390,3792,01E2KKKMHKHE0H4YDX6YXYXBRR,leather tote contrast topstitching panel smooth lizard embossed leather staud latest long line statement silhouette,unknown,wyatt leather tote,unknown,category,accessory
113391,3792,01E2KKKMHKHE0H4YDX6YXYXBRR,leather tote contrast topstitching panel smooth lizard embossed leather staud latest long line statement silhouette,unknown,wyatt leather tote,unknown,category,accessory
113423,3793,01E2KKMCR0MWSHXYPGFSG1PSHN,dainty contrast stitching outline collar lapel hem sleekly tailored blazer,unknown,ren contrast stitch blazer,unknown,category,blazerscoatsjackets
113435,3794,01E2KZF07HWMSATCR70787NKZ4,staud knack designing buzz worthy bag fun unexpected silhouette full display chic triangular shoulder bag croc embossed leather,unknown,large rey croc embossed leather shoulder bag,unknown,category,accessory
113452,3795,01E2KN1JTD50KA1T2X50D5262J,colorful concentric ring frame yin yang symbol center vintage inspired sweater,unknown,jan yin yang sweater,unknown,category,sweater
113479,3796,01E2KMHDRRN3KE97M838E9DVNE,staud knack designing buzz worthy bag fun unexpected silhouette full display chic half moon shoulder bag croc embossed leather,unknown,amal croc embossed leather shoulder bag,unknown,category,accessory
113480,3796,01E2KMHDRRN3KE97M838E9DVNE,staud knack designing buzz worthy bag fun unexpected silhouette full display chic half moon shoulder bag croc embossed leather,unknown,amal croc embossed leather shoulder bag,unknown,category,accessory
113505,3797,01E2KZ67E5W00R12MC17VZZS3C,take closer look custom toile print poplin dress spot brand office dog including sarah staudinger yorkie,unknown,basset toile print stretch poplin dress,unknown,category,onepiece
113526,3798,01E2KKYM72KGMD3Y8MNK6T6TP2,dainty white stripe separate softly gathered tier streaming dramatic poplin maxi dress,unknown,cocoon tiered stretch poplin maxi dress,unknown,category,onepiece
113534,3799,01E2KWCWRFW6HBP6GS2Y0GCKT7,puff sleeve removable white bloom make crisp poplin dress feel sweet summery,unknown,keefe cotton midi dress,unknown,category,onepiece
113554,3800,01E2KKCF22YF4NBY8Q8DBZB63F,name meaning butterfly bubbled midi skirt made recycled nylon soared beautifully staud spring runway,unknown,mariposa bubble hem midi skirt,unknown,category,bottom
113573,3801,01E2KKXCXNRK98808VHF28M2X0,fashioned double layer mesh featuring white tiger stripe print turtleneck top fierce look day night,unknown,helvin tiger stripe turtleneck top,unknown,category,top
113595,3802,01E2KWZ33YBCKHQQMY74B9Z29E,little yin yang symbol hide amongst polka dot flowing midi skirt provides balance wardrobe separate,unknown,orchid tiered midi skirt,unknown,category,bottom
113614,3803,01E2KN60RACS4KK2FX3R49YK9M,subtle patchwork design formed alternating knit caramel hued sweater made cozy dropped shoulder blouson sleeve chunky turtleneck,unknown,benny turtleneck sweater,unknown,category,sweater
113633,3804,01E2KMGMFFSR4ECVZ52ZWV6YAM,yin yang symbol hide within polka dot print boxy cropped shirt crafted crisp stretch cotton,unknown,violet crop top,unknown,category,top
113663,3805,01E2M1887RKN9855NJKGRGV1SG,new felix silhouette slouchy gathered leather staud officially cemented status brand count season bag,unknown,felix leather top handle bag,unknown,category,accessory
113664,3805,01E2M1887RKN9855NJKGRGV1SG,new felix silhouette slouchy gathered leather staud officially cemented status brand count season bag,unknown,felix leather top handle bag,unknown,category,accessory
113665,3805,01E2M1887RKN9855NJKGRGV1SG,new felix silhouette slouchy gathered leather staud officially cemented status brand count season bag,unknown,felix leather top handle bag,unknown,category,accessory
113666,3805,01E2M1887RKN9855NJKGRGV1SG,new felix silhouette slouchy gathered leather staud officially cemented status brand count season bag,unknown,felix leather top handle bag,unknown,category,accessory
113704,3806,01E2M3E1SPQAFVGBBPZH04HTE4,zebra patterned calf hair brings statement making cool clean lined silhouette structured leather bucket bag,unknown,mini bissett zebra calf hair bucket bag,unknown,category,accessory
113719,3807,01E2KKTB76E6T6NRXJBCBXBJYM,billowy puff sleeve add light airy feel crisp stretch poplin dress,unknown,vincent puff sleeve maxi dress,unknown,category,onepiece
113740,3808,01E2KW9TMZ5WDJZZCXV3A18BGJ,editor favorite handbag updated zebra print calf hair paired removable lizard embossed pouch look equally chic,unknown,mini shirley zebra stripe genuine calf hair handbag,unknown,category,accessory
113749,3810,01E5ZWD39G0K62M050MAX8JCDG,cropped crinkle textured top marigold hue add pop sunny color summery look style gathered back keep look light airy,unknown,copa crop crinkle top,unknown,category,top
113791,3811,01E600ECKPAV431BZQJEM5V4WY,gently textured knit blend harmoniously graceful style luxe cardigan knit warming wool soft cashmere,unknown,wool cashmere wrap cardigan,unknown,category,sweater
113792,3811,01E600ECKPAV431BZQJEM5V4WY,gently textured knit blend harmoniously graceful style luxe cardigan knit warming wool soft cashmere,unknown,wool cashmere wrap cardigan,unknown,category,sweater
113823,3812,01E6016BJ59ZNZB3WHCMNKZYEC,thoroughly modern remake classic dress cut crinkled japanese fabric adjustable cinched waist make look,unknown,short sleeve shirt dress,unknown,category,onepiece
113824,3812,01E6016BJ59ZNZB3WHCMNKZYEC,thoroughly modern remake classic dress cut crinkled japanese fabric adjustable cinched waist make look,unknown,short sleeve shirt dress,unknown,category,onepiece
113847,3813,01E60256AZQTZ2G4SVKPTFCZ3M,waved platform sole heightens fashion forward style streamlined loafer sporty vibe,unknown,zeta platform loafer,unknown,category,shoe
113862,3814,01E5ZYVDXD8G9GGAVRGV86Z80H,richly hued flower add intoxicating air hammered satin dress shaped waist slender string belt,unknown,plumeria bloom long sleeve hammered satin dress,unknown,category,onepiece
113883,3815,01E6028378S11XJ71CR23F2V3T,timeless classic cut effortlessly elegant cashmere,unknown,ribbed skinny cashmere cardigan,unknown,category,sweater
113897,3816,01E5ZYMCYV61XC1Q9RJK1P9EHK,classic stripe pattern animates turtleneck sweater knit pure cashmere casually luxe look,unknown,breton stripe turtleneck cashmere sweater,unknown,category,sweater
113926,3817,01E601WSM6AFCPDWVMVN8YH5G6,come making shining impression pleated skirt day go ahead go gold,unknown,pleated metallic knit skirt,unknown,category,bottom
113936,3818,01E60205FHKM4RK0V3MX5EX63Z,minimalist detailing meet relaxed fit define blouse add decidedly laid back luxe vibe ensemble day evening,unknown,relaxed band collar blouse,unknown,category,top
113961,3819,01E5ZZYN8Q3G2CH8TN4SK4JQEQ,pared back tailoring linen blend pant thing stylish day sunny season,unknown,linen blend crop wide leg pant,unknown,category,bottom
113969,3820,01E2KZZMQ049AA3RW3X39WPRJF,season must pant culotte elevated smooth covetable lambsuede dyed rich brown red hue surprisingly versatile,unknown,nubuck suede culotte,unknown,category,bottom
113998,3821,01E2KZT9SW2VC3BQQ8FHKE4DYS,subtle nod utility style animate wide legged pant made italy cut summery blend cotton linen,unknown,high waist cotton linen utility pant,unknown,category,bottom
114026,3822,01E2KZMT3TSA2AYVNFTVXPTW1C,wide ribbed front streamlines look otherwise relaxed fitting sleeveless top finished woven fabric back,unknown,rib front sleeveless turtleneck top,unknown,category,top
114027,3822,01E2KZMT3TSA2AYVNFTVXPTW1C,wide ribbed front streamlines look otherwise relaxed fitting sleeveless top finished woven fabric back,unknown,rib front sleeveless turtleneck top,unknown,category,top
114052,3823,01E2KZQD0J9NKQG0Z2EXRJRKH2,decidedly casual chic vibe blouse begs skip iron welcome gloriously wrinkled japanese fabric,unknown,crushed satin v neck blouse,unknown,category,top
114053,3823,01E2KZQD0J9NKQG0Z2EXRJRKH2,decidedly casual chic vibe blouse begs skip iron welcome gloriously wrinkled japanese fabric,unknown,crushed satin v neck blouse,unknown,category,top
114081,3824,01E2KZC832C4C7SA71V0Z85T09,quiet sophistication meet timeless luxury cleanly styled trench crafted lambskin leather exquisite buttery feel inside,unknown,double face leather trench coat,unknown,category,blazerscoatsjackets
114104,3825,01E2KZX6F5WTFPJ6DYJFNF4XS4,simple casual easy wear wardrobe staple venetian loafer feature minimalist detailing easy versatility across wardrobe,unknown,paz venetian loafer,unknown,category,shoe
114113,3826,01E2KZND7X17XHGJYDAQGNVDC8,impressionist bloom beautify pure silk blouse cut easy split neck silhouette,unknown,plumeria bloom split neck silk blouse,unknown,category,top
114143,3827,01E2M30A2C0G39D0XD44EHZWXK,tortoiseshell heel cut graceful curve distinguishes chic slide sandal stride easily day night work weekend,unknown,jestin sandal,unknown,category,shoe
114144,3827,01E2M30A2C0G39D0XD44EHZWXK,tortoiseshell heel cut graceful curve distinguishes chic slide sandal stride easily day night work weekend,unknown,jestin sandal,unknown,category,shoe
114166,3828,01E2M0XDGT97AYRE69SS6H0KEB,diagonally directed seam detail paired center hemline add modern aesthetic minimalist midi skirt,unknown,asymmetrical midi skirt,unknown,category,bottom
114184,3829,01E2M0TGEZACGZEQMDXEPDAGJ6,blunted toe elongated topline distinguish half orsay profile pump styled minimalist detailing maximum versatility across wardrobe,unknown,barolo half orsay wedge pump,unknown,category,shoe
114225,3830,01E2M0XVRT9XHHP6ZT9VTZYZPP,soft blend wool cashmere make open front cardigan refined style standby,unknown,ribbed wool cashmere cardigan,unknown,category,sweater
114226,3830,01E2M0XVRT9XHHP6ZT9VTZYZPP,soft blend wool cashmere make open front cardigan refined style standby,unknown,ribbed wool cashmere cardigan,unknown,category,sweater
114259,3832,01E2M0N5V1Z5SVWCE6XDBVFJBK,square toe loafer squared topline smart modern version classic staple,unknown,clark square toe loafer,unknown,category,shoe
114260,3832,01E2M0N5V1Z5SVWCE6XDBVFJBK,square toe loafer squared topline smart modern version classic staple,unknown,clark square toe loafer,unknown,category,shoe
114261,3832,01E2M0N5V1Z5SVWCE6XDBVFJBK,square toe loafer squared topline smart modern version classic staple,unknown,clark square toe loafer,unknown,category,shoe
114284,3833,01E2M0Q08M3Q3TZS8KR40G71D3,stretchy inset slingback strap jute wrapped sole add easy modern style leather thong sandal,unknown,flint espadrille thong sandal,unknown,category,shoe
114285,3833,01E2M0Q08M3Q3TZS8KR40G71D3,stretchy inset slingback strap jute wrapped sole add easy modern style leather thong sandal,unknown,flint espadrille thong sandal,unknown,category,shoe
114329,3834,01E2M0M8NH08HRTTFJYTMSSWZR,clean line minimal detailing underscore laid back attitude high top sneaker grounded textured bumper cupsole,unknown,wolfe high top sneaker,unknown,category,shoe
114330,3834,01E2M0M8NH08HRTTFJYTMSSWZR,clean line minimal detailing underscore laid back attitude high top sneaker grounded textured bumper cupsole,unknown,wolfe high top sneaker,unknown,category,shoe
114331,3834,01E2M0M8NH08HRTTFJYTMSSWZR,clean line minimal detailing underscore laid back attitude high top sneaker grounded textured bumper cupsole,unknown,wolfe high top sneaker,unknown,category,shoe
114347,3835,01E2M0K5T0M9TVVGCQM068V3SD,elevate desk dinner vibe modern cropped trouser textured sumptuous velvet,unknown,velvet crop trouser,unknown,category,bottom
114359,3836,01E2M0PP9YTXG7FN7WCSM11XAH,make next dress day cozier heathered charcoal option styled comfy string tied waist side slit easy movement,unknown,turtleneck long sleeve cotton blend midi dress,unknown,category,onepiece
114380,3837,01E2M0P3TSA735XTCEQV4B8125,extend sweater weather sunny season open stitch cardi knit pure cotton yarn,unknown,open stitch cable cotton cardigan sweater,unknown,category,sweater
114381,3837,01E2M0P3TSA735XTCEQV4B8125,extend sweater weather sunny season open stitch cardi knit pure cotton yarn,unknown,open stitch cable cotton cardigan sweater,unknown,category,sweater
114424,3838,01E2KWGQMPMHZTPHN7NMV4KH1P,tumbling magnolia whisper way across breezy dress string tied waist cut airy fabric,unknown,painted magnolia tie waist dress,unknown,category,onepiece
114425,3838,01E2KWGQMPMHZTPHN7NMV4KH1P,tumbling magnolia whisper way across breezy dress string tied waist cut airy fabric,unknown,painted magnolia tie waist dress,unknown,category,onepiece
114466,3839,01E2KWQKNZ9D1SCK35A39QB899,gently rumpled satin add easy elegance versatile cami work whether layer wear,unknown,satin camisole,unknown,category,top
114467,3839,01E2KWQKNZ9D1SCK35A39QB899,gently rumpled satin add easy elegance versatile cami work whether layer wear,unknown,satin camisole,unknown,category,top
114486,3840,01E2KWCJW454CRXBX9NS6E03TY,notched topline add trend forward touch peep toe leather shoe keep super sleek wrapped heel,unknown,hollis notch sandal,unknown,category,shoe
114487,3840,01E2KWCJW454CRXBX9NS6E03TY,notched topline add trend forward touch peep toe leather shoe keep super sleek wrapped heel,unknown,hollis notch sandal,unknown,category,shoe
114488,3840,01E2KWCJW454CRXBX9NS6E03TY,notched topline add trend forward touch peep toe leather shoe keep super sleek wrapped heel,unknown,hollis notch sandal,unknown,category,shoe
114540,3841,01E2KWMQ6N7R6ERFTP7NEG2VHF,tailored detail like coin pocket waist give polished look everyday bermuda cut stretch twill choice essential neutral,unknown,bermuda short,unknown,category,bottom
114541,3841,01E2KWMQ6N7R6ERFTP7NEG2VHF,tailored detail like coin pocket waist give polished look everyday bermuda cut stretch twill choice essential neutral,unknown,bermuda short,unknown,category,bottom
114574,3842,01E2KWB6TXHZC5FREAHH4PKYR3,look lusciously cozy feel pullover say weekend sure elevated staple heavy rotation weekday lineup,unknown,weekend v neck cashmere sweater,unknown,category,sweater
114575,3842,01E2KWB6TXHZC5FREAHH4PKYR3,look lusciously cozy feel pullover say weekend sure elevated staple heavy rotation weekday lineup,unknown,weekend v neck cashmere sweater,unknown,category,sweater
114576,3842,01E2KWB6TXHZC5FREAHH4PKYR3,look lusciously cozy feel pullover say weekend sure elevated staple heavy rotation weekday lineup,unknown,weekend v neck cashmere sweater,unknown,category,sweater
114577,3842,01E2KWB6TXHZC5FREAHH4PKYR3,look lusciously cozy feel pullover say weekend sure elevated staple heavy rotation weekday lineup,unknown,weekend v neck cashmere sweater,unknown,category,sweater
114638,3843,01E2KWP2NBBW2P14HN9PBFZDHP,smarten summery day look slimly tailored stretch cotton walking short reach regular,unknown,coin pocket stretch cotton bermuda short,unknown,category,bottom
114639,3843,01E2KWP2NBBW2P14HN9PBFZDHP,smarten summery day look slimly tailored stretch cotton walking short reach regular,unknown,coin pocket stretch cotton bermuda short,unknown,category,bottom
114668,3844,01E2KX0A3WVY9BNF03XVBCT8WB,trend report say work utility style look relaxed fitting silk blend shirt beautifully,unknown,silk blend utility shirt,unknown,category,top
114669,3844,01E2KX0A3WVY9BNF03XVBCT8WB,trend report say work utility style look relaxed fitting silk blend shirt beautifully,unknown,silk blend utility shirt,unknown,category,top
114701,3845,01E2KXHQDT87MN6B7YR8ZH7W4D,go mod metropolitan style slip sneaker sporting perforated leather upper bumper sole,unknown,blair slip sneaker,unknown,category,shoe
114734,3848,01E2KWDZ2FFFSJA3A04X12J0E8,present poetically silken top tastefully refined version classic style,unknown,poet silk popover top,unknown,category,top
114735,3848,01E2KWDZ2FFFSJA3A04X12J0E8,present poetically silken top tastefully refined version classic style,unknown,poet silk popover top,unknown,category,top
114759,3849,01E2KZM66MDW72JQCFC8DPDTZY,reminiscent keepsake petal saved memorable event diaphanous top offer way wear floral dreamier standard style,unknown,pressed petal long sleeve blouse,unknown,category,top
114783,3850,01E2M17SW75584105H49THTEMS,cozy heathered cotton modal henley perfect layering also stand fine,unknown,henley top,unknown,category,top
114784,3850,01E2M17SW75584105H49THTEMS,cozy heathered cotton modal henley perfect layering also stand fine,unknown,henley top,unknown,category,top
114820,3852,01E2KY0C8V7CSTXB9ZDXW7ZNBD,fitted silhouette lends tuck wear versatility cashmere crewneck wide set slimmest stripe,unknown,stripe fitted cashmere crewneck sweater,unknown,category,sweater
114821,3852,01E2KY0C8V7CSTXB9ZDXW7ZNBD,fitted silhouette lends tuck wear versatility cashmere crewneck wide set slimmest stripe,unknown,stripe fitted cashmere crewneck sweater,unknown,category,sweater
114850,3853,01E2KY9ZPAQHBE5P4AGW1XG1XZ,soft high neck shell ideal layering office wearing alone dinner,unknown,drape neck top,unknown,category,top
114851,3853,01E2KY9ZPAQHBE5P4AGW1XG1XZ,soft high neck shell ideal layering office wearing alone dinner,unknown,drape neck top,unknown,category,top
114893,3854,01E2KYQQV9EQ9YC4XBSGDAESDQ,boxy cut wide set sleeve extra soft pima cotton top add swingy style staple tee collection,unknown,wide sleeve crop pima cotton tee,unknown,category,top
114894,3854,01E2KYQQV9EQ9YC4XBSGDAESDQ,boxy cut wide set sleeve extra soft pima cotton top add swingy style staple tee collection,unknown,wide sleeve crop pima cotton tee,unknown,category,top
114895,3854,01E2KYQQV9EQ9YC4XBSGDAESDQ,boxy cut wide set sleeve extra soft pima cotton top add swingy style staple tee collection,unknown,wide sleeve crop pima cotton tee,unknown,category,top
114922,3857,01E2KYFFFQ46SC41WB6PKE848R,buckle detail softy structure drapey linen blend skirt make modern statement summery day,unknown,linen blend skirt,unknown,category,bottom
114947,3858,01E2KKYRWWF6M8D799Q3T6QS9V,silky crinkled crepe make pocketed button relaxed sumptuous,unknown,boxy utility shirt,unknown,category,top
114960,3859,01E2KXH85GD0WESKFRXBCKTNM7,flattering comfortable high waist legging stretchy italian knit foundation duty uniform,unknown,stretch legging,unknown,category,bottom
115000,3860,01E2KZBSTMY2458PB0THKWYCZ9,softest cashmere also structured enough form seamless funnel neck atop super cozy sweater styled dropped shoulder wide ribbed band,unknown,boiled cashmere funnel neck pullover,unknown,category,sweater
115001,3860,01E2KZBSTMY2458PB0THKWYCZ9,softest cashmere also structured enough form seamless funnel neck atop super cozy sweater styled dropped shoulder wide ribbed band,unknown,boiled cashmere funnel neck pullover,unknown,category,sweater
115023,3862,01E2M3ZRKKKY26D90MZE99WF1A,lightweight finely ribbed knit supersoft pima cotton modal shape versatile tank lean fit,unknown,pima cotton modal tank,unknown,category,top
115024,3862,01E2M3ZRKKKY26D90MZE99WF1A,lightweight finely ribbed knit supersoft pima cotton modal shape versatile tank lean fit,unknown,pima cotton modal tank,unknown,category,top
115025,3862,01E2M3ZRKKKY26D90MZE99WF1A,lightweight finely ribbed knit supersoft pima cotton modal shape versatile tank lean fit,unknown,pima cotton modal tank,unknown,category,top
115026,3862,01E2M3ZRKKKY26D90MZE99WF1A,lightweight finely ribbed knit supersoft pima cotton modal shape versatile tank lean fit,unknown,pima cotton modal tank,unknown,category,top
115104,3864,01E2M3K7VW0A6GDP6SYSG6XWQP,rock cozy minimalist vibe woolly cashmere kissed sweater styled high neck slouchy sleeve,unknown,wool blend funnel neck pullover,unknown,category,sweater
115105,3864,01E2M3K7VW0A6GDP6SYSG6XWQP,rock cozy minimalist vibe woolly cashmere kissed sweater styled high neck slouchy sleeve,unknown,wool blend funnel neck pullover,unknown,category,sweater
115106,3864,01E2M3K7VW0A6GDP6SYSG6XWQP,rock cozy minimalist vibe woolly cashmere kissed sweater styled high neck slouchy sleeve,unknown,wool blend funnel neck pullover,unknown,category,sweater
115144,3868,01E2KKWFTNTF3NS6RBBK4JEHFV,minimally detailed slimly tailored cotton pant cut ankle grazing length easy choice favorite list,unknown,coin pocket stretch cotton chino pant,unknown,category,bottom
115145,3868,01E2KKWFTNTF3NS6RBBK4JEHFV,minimally detailed slimly tailored cotton pant cut ankle grazing length easy choice favorite list,unknown,coin pocket stretch cotton chino pant,unknown,category,bottom
115146,3868,01E2KKWFTNTF3NS6RBBK4JEHFV,minimally detailed slimly tailored cotton pant cut ankle grazing length easy choice favorite list,unknown,coin pocket stretch cotton chino pant,unknown,category,bottom
115185,3869,01E2KM75PXF03399TBGM954APN,classic fitted cardigan crafted cozy heathered wool knit making ideal choice solo wear layering favorite collared top,unknown,wool cardigan,unknown,category,sweater
115211,3870,01E2KMA7CB1FD9M4RTCA3FRTQY,elevate work play look double breasted blazer textured sumptuous velvet,unknown,velvet blazer,unknown,category,blazerscoatsjackets
115236,3871,01E2KM2E6PR0KNT6PX6S07X7KV,shaped feminine easy fit pullover knit fine italian cotton staple reach season season,unknown,v neck sweater,unknown,category,sweater
115237,3871,01E2KM2E6PR0KNT6PX6S07X7KV,shaped feminine easy fit pullover knit fine italian cotton staple reach season season,unknown,v neck sweater,unknown,category,sweater
115286,3872,01E2KM88YH2C7EAQWN3BBSE9Y1,wardrobe essential cropped chino coin pocket styling cut cotton twill right amount stretch,unknown,coin pocket chino pant,unknown,category,bottom
115287,3872,01E2KM88YH2C7EAQWN3BBSE9Y1,wardrobe essential cropped chino coin pocket styling cut cotton twill right amount stretch,unknown,coin pocket chino pant,unknown,category,bottom
115343,3873,01E2KYR20XXGYXW2PHPDZXVMAQ,rope thick braided jute wrap sole espadrille inspired sandal pair soft strap upper sporty rubber tread,unknown,tenison espadrille sandal,unknown,category,shoe
115344,3873,01E2KYR20XXGYXW2PHPDZXVMAQ,rope thick braided jute wrap sole espadrille inspired sandal pair soft strap upper sporty rubber tread,unknown,tenison espadrille sandal,unknown,category,shoe
115345,3873,01E2KYR20XXGYXW2PHPDZXVMAQ,rope thick braided jute wrap sole espadrille inspired sandal pair soft strap upper sporty rubber tread,unknown,tenison espadrille sandal,unknown,category,shoe
115346,3873,01E2KYR20XXGYXW2PHPDZXVMAQ,rope thick braided jute wrap sole espadrille inspired sandal pair soft strap upper sporty rubber tread,unknown,tenison espadrille sandal,unknown,category,shoe
115347,3873,01E2KYR20XXGYXW2PHPDZXVMAQ,rope thick braided jute wrap sole espadrille inspired sandal pair soft strap upper sporty rubber tread,unknown,tenison espadrille sandal,unknown,category,shoe
115348,3873,01E2KYR20XXGYXW2PHPDZXVMAQ,rope thick braided jute wrap sole espadrille inspired sandal pair soft strap upper sporty rubber tread,unknown,tenison espadrille sandal,unknown,category,shoe
115391,3874,01E2M4H08JBAV8JGDAMMNS5N7K,slip sneaker get stylish boost season plush suede upper espadrille inspired flatform sole,unknown,wilden flatform espadrille,unknown,category,shoe
115413,3876,01E2M47CM8BNKZVJ8EW4PRFA8A,spend duty day extra soft cotton tee graced clean line boatneck cut dropped shoulder sleeve,unknown,boatneck pima cotton long sleeve top,unknown,category,top
115414,3876,01E2M47CM8BNKZVJ8EW4PRFA8A,spend duty day extra soft cotton tee graced clean line boatneck cut dropped shoulder sleeve,unknown,boatneck pima cotton long sleeve top,unknown,category,top
115415,3876,01E2M47CM8BNKZVJ8EW4PRFA8A,spend duty day extra soft cotton tee graced clean line boatneck cut dropped shoulder sleeve,unknown,boatneck pima cotton long sleeve top,unknown,category,top
115447,3877,01E2M45VP6K9PEJNXRCZNY544J,raw edge detailing slouchy oversized silhouette underscore laid back aesthetic band collar shirt cut luxe cotton silk blend,unknown,oversized cotton shirt,unknown,category,top
115460,3878,01E2M44GQ8MYS9HGWFGJCWW111,shirtdress borrows selectively utility trend slightly oversized cut roomy front pocket movement friendly side slit,unknown,oversize belted long sleeve shirtdress,unknown,category,onepiece
115510,3879,01E2M4FY9NE54GPZBK05WANFYK,ribbed detail enhance close fit pure cashmere sweater equally lovely layered worn,unknown,ribbed cashmere crewneck sweater,unknown,category,sweater
115511,3879,01E2M4FY9NE54GPZBK05WANFYK,ribbed detail enhance close fit pure cashmere sweater equally lovely layered worn,unknown,ribbed cashmere crewneck sweater,unknown,category,sweater
115512,3879,01E2M4FY9NE54GPZBK05WANFYK,ribbed detail enhance close fit pure cashmere sweater equally lovely layered worn,unknown,ribbed cashmere crewneck sweater,unknown,category,sweater
115558,3880,01E2M4AE6A4X211VY7RTYRY5KY,wide ribbed knit enhances fitted silhouette casual staple top fastened tortoise button,unknown,ribbed button top,unknown,category,top
115559,3880,01E2M4AE6A4X211VY7RTYRY5KY,wide ribbed knit enhances fitted silhouette casual staple top fastened tortoise button,unknown,ribbed button top,unknown,category,top
115594,3881,01E2M4BGSJ0B15DM3A5VRH5TJG,rib knit collar cuff lend casual appeal drapey popover top cut pure silk,unknown,rib trim silk blouse,unknown,category,top
115595,3881,01E2M4BGSJ0B15DM3A5VRH5TJG,rib knit collar cuff lend casual appeal drapey popover top cut pure silk,unknown,rib trim silk blouse,unknown,category,top
115596,3881,01E2M4BGSJ0B15DM3A5VRH5TJG,rib knit collar cuff lend casual appeal drapey popover top cut pure silk,unknown,rib trim silk blouse,unknown,category,top
115664,3882,01E2KXY2QVDM3T3ABJQDNVFAH6,layered platform wedge elevates casual chic slingback sandal fashioned breezy asymmetrical cutout,unknown,shelby platform wedge sandal,unknown,category,shoe
115665,3882,01E2KXY2QVDM3T3ABJQDNVFAH6,layered platform wedge elevates casual chic slingback sandal fashioned breezy asymmetrical cutout,unknown,shelby platform wedge sandal,unknown,category,shoe
115666,3882,01E2KXY2QVDM3T3ABJQDNVFAH6,layered platform wedge elevates casual chic slingback sandal fashioned breezy asymmetrical cutout,unknown,shelby platform wedge sandal,unknown,category,shoe
115699,3883,01E2KY60MT39GECAE6S2Z2VEGA,cut luxe silk blend softly structured shape endlessly wearable skirt defined casual elegance,unknown,drape silk blend skirt,unknown,category,bottom
115700,3883,01E2KY60MT39GECAE6S2Z2VEGA,cut luxe silk blend softly structured shape endlessly wearable skirt defined casual elegance,unknown,drape silk blend skirt,unknown,category,bottom
115719,3884,01E2KY7HCN046NTQTTMYSCP1D1,timeless sophistication shoulder baring turtleneck spun luxurious cashmere,unknown,sleeveless cashmere turtleneck tunic,unknown,category,sweater
115761,3885,01E2KXNV1KAX6G0TKX1T6BNDFA,elevated essential represent smart style solid shaded silk shirt exquisite choice,unknown,band collar silk blouse,unknown,category,top
115762,3885,01E2KXNV1KAX6G0TKX1T6BNDFA,elevated essential represent smart style solid shaded silk shirt exquisite choice,unknown,band collar silk blouse,unknown,category,top
115763,3885,01E2KXNV1KAX6G0TKX1T6BNDFA,elevated essential represent smart style solid shaded silk shirt exquisite choice,unknown,band collar silk blouse,unknown,category,top
115818,3886,01E2KY6Y1A664EGJHPDCS18VP4,ribbed gore paneling eas fit peep toe bootie serving cool reminder vince knitwear root,unknown,elsie peep toe bootie,unknown,category,shoe
115819,3886,01E2KY6Y1A664EGJHPDCS18VP4,ribbed gore paneling eas fit peep toe bootie serving cool reminder vince knitwear root,unknown,elsie peep toe bootie,unknown,category,shoe
115820,3886,01E2KY6Y1A664EGJHPDCS18VP4,ribbed gore paneling eas fit peep toe bootie serving cool reminder vince knitwear root,unknown,elsie peep toe bootie,unknown,category,shoe
115836,3887,01E2KY0275KVTFFA9NXZQQHC5Z,spare styling let lustrous silk shine simple sophisticated shirtdress make artful statement,unknown,long sleeve silk wrap dress,unknown,category,onepiece
115860,3888,01E2KXH373YP3M380Z0RHDMBB9,absolute minimalism let chic style come kicky cropped pant cut stretch kissed cotton blend,unknown,stretch cotton blend flare crop pant,unknown,category,bottom
115879,3889,01E2KXB09B190CJDY74JV4NM47,thoughtful design delivers soft swing slightly cut shoulder wear everywhere cotton tank sunny day,unknown,crop swing cotton tank top,unknown,category,top
115880,3889,01E2KXB09B190CJDY74JV4NM47,thoughtful design delivers soft swing slightly cut shoulder wear everywhere cotton tank sunny day,unknown,crop swing cotton tank top,unknown,category,top
115923,3890,01E2KY6F9DQ4ZDZVDNCYX0R9HX,stretch kissed italian cotton linen blend lightens double breasted blazer impeccably tailored gently oversized fit,unknown,double breasted cotton linen blend blazer,unknown,category,blazerscoatsjackets
